epoch,train_loss,train_acc,val_loss,val_acc,val_acc_N,val_acc_S,val_acc_V,val_acc_F,val_acc_Q,learning_rate,time_elapsed
1,0.9642,59.79,0.5837,79.56,78.06,67.39,94.72,42.98,94.23,0.001463,192.9
2,0.5777,79.44,0.5195,71.04,67.69,67.39,94.82,58.68,95.83,0.001357,394.6
3,0.4729,87.14,0.4135,90.08,89.61,77.22,97.08,57.02,98.93,0.001191,588.8
4,0.3845,90.51,0.3178,93.34,93.49,75.30,96.32,73.55,98.29,0.000982,772.9
5,0.3268,93.22,0.2778,92.21,92.22,84.65,90.10,82.64,98.93,0.000750,953.5
6,0.2733,94.66,0.1974,94.48,94.27,87.05,97.46,84.30,98.72,0.000518,1135.8
7,0.2395,95.45,0.2216,92.55,91.87,90.65,98.02,77.69,99.04,0.000309,1319.3
8,0.2111,96.12,0.1882,96.18,96.13,88.49,98.40,82.64,99.57,0.000143,1501.5
9,0.1849,96.69,0.1757,97.07,97.26,88.01,97.93,82.64,99.36,0.000037,1682.2
10,0.1728,96.92,0.1746,97.07,97.20,88.49,98.30,83.47,99.36,0.001500,1862.4
